name,value,domain
c_user,100000349846520,.facebook.com
datr,d2NXZlMRfFDt4A5s_PcTDpsc,.facebook.com
dpr,1.25,.facebook.com
fr,1mcek7T4u71xwEqDk.AWUY5YdFzk2Xg6_5KFevYYp37WM.BmW5ga..AAA.0.0.BmW5zM.AWVpi_iEBnw,.facebook.com
locale,en_US,.facebook.com
presence,C%7B%22t3%22%3A%5B%5D%2C%22utc3%22%3A1717279953737%2C%22v%22%3A1%7D,.facebook.com
ps_l,1,.facebook.com
ps_n,1,.facebook.com
sb,d2NXZj9dR0LHsPdf2q-Y4537,.facebook.com
wd,458x791,.facebook.com
xs,13%3A7ZKESGfFrGDOEw%3A2%3A1717003178%3A-1%3A3687%3A%3AAcUTEiQ86hQgFh_cacLk_tmEkbc0R1QwCiigXo_a7kU,.facebook.com
